USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
OH	39141955602	6377100	173187	       2.462	       0.067	 39.3671762	 -83.0022193                                                                                                                        
OH	39141955603	218214605	264603	      84.253	       0.102	 39.4731834	 -83.1355281                                                                                                                      
OH	39141955700	367887092	1714821	     142.042	       0.662	 39.3202427	 -83.2722188                                                                                                                     
OH	39141955800	139903400	39719	      54.017	       0.015	 39.3646832	 -83.1552876                                                                                                                       
OH	39141955900	32916137	247563	      12.709	       0.096	 39.3217797	 -83.0422664                                                                                                                       
OH	39141956000	10781160	20826	       4.163	       0.008	 39.3513606	 -83.0235914                                                                                                                        
OH	39141956100	1679277	0	       0.648	       0.000	 39.3392547	 -82.9956578                                                                                                                             
OH	39141956200	2142066	0	       0.827	       0.000	 39.3284508	 -82.9974751                                                                                                                             
OH	39141956300	18272186	745138	       7.055	       0.288	 39.3716887	 -82.9794066                                                                                                                       
OH	39141956400	2341844	281315	       0.904	       0.109	 39.3386516	 -82.9599534                                                                                                                        
OH	39141956500	12978038	1006372	       5.011	       0.389	 39.3152878	 -82.9442400                                                                                                                      
OH	39141956600	205692344	917359	      79.418	       0.354	 39.3384449	 -82.8581175                                                                                                                      
OH	39141956700	222173252	2568392	      85.782	       0.992	 39.2351530	 -82.8761040                                                                                                                     
OH	39141956800	132914017	514158	      51.318	       0.199	 39.2352576	 -83.0243858                                                                                                                      
OH	39141956900	170070271	106937	      65.665	       0.041	 39.2379675	 -83.1608074                                                                                                                      
OH	39143960800	145800780	15692175	      56.294	       6.059	 41.3890385	 -83.0167364                                                                                                                    
OH	39143960900	164959736	873042	      63.691	       0.337	 41.3997904	 -83.1788354                                                                                                                      
OH	39143961000	126790388	307426	      48.954	       0.119	 41.4432293	 -83.3348218                                                                                                                      
OH	39143961100	95640472	1471007	      36.927	       0.568	 41.3651470	 -83.3629077                                                                                                                      
OH	39143961200	203242547	575495	      78.472	       0.222	 41.2887884	 -83.2608350                                                                                                                      
OH	39143961300	12567093	626493	       4.852	       0.242	 41.3296245	 -83.1528395                                                                                                                       
OH	39143961400	1696610	56269	       0.655	       0.022	 41.3426271	 -83.1204077                                                                                                                         
OH	39143961500	1773508	0	       0.685	       0.000	 41.3541025	 -83.1256166                                                                                                                             
OH	39143961600	8838439	0	       3.413	       0.000	 41.3561157	 -83.1462336                                                                                                                             
OH	39143961700	8600299	418762	       3.321	       0.162	 41.3520257	 -83.0939397                                                                                                                        
OH	39143961800	7979883	57135	       3.081	       0.022	 41.3264485	 -83.0951166                                                                                                                         
OH	39143961900	76183642	89197	      29.415	       0.034	 41.2969058	 -83.0573077                                                                                                                        
OH	39143962000	17280160	133708	       6.672	       0.052	 41.3072474	 -82.9803143                                                                                                                       
OH	39143962100	179152293	3604093	      69.171	       1.392	 41.3260784	 -82.9063849                                                                                                                     
OH	39143962200	7395616	58927	       2.855	       0.023	 41.2771239	 -82.8493524                                                                                                                         
OH	39145002100	130994820	247732	      50.577	       0.096	 38.8926191	 -82.8524216                                                                                                                      
OH	39145002200	102472668	1094755	      39.565	       0.423	 38.9166530	 -82.9602071                                                                                                                     
OH	39145002300	311229244	1558270	     120.166	       0.602	 38.8891735	 -83.1843906                                                                                                                     
OH	39145002400	143997102	2000123	      55.598	       0.772	 38.8323211	 -83.0787781                                                                                                                     
OH	39145002500	81569250	817152	      31.494	       0.316	 38.8148758	 -82.9348183                                                                                                                       
OH	39145002600	154884760	705855	      59.801	       0.273	 38.8175312	 -82.7531753                                                                                                                      
OH	39145002700	143365081	829473	      55.354	       0.320	 38.7375154	 -82.7750279                                                                                                                      
OH	39145002800	97926711	2667565	      37.810	       1.030	 38.6392429	 -82.8062877                                                                                                                      
OH	39145002900	24628835	701693	       9.509	       0.271	 38.7207133	 -82.8423802                                                                                                                       
OH	39145003000	12945120	312562	       4.998	       0.121	 38.7618613	 -82.8683040                                                                                                                       
OH	39145003100	24143217	385409	       9.322	       0.149	 38.7820859	 -82.9183494                                                                                                                       
OH	39145003200	5151571	0	       1.989	       0.000	 38.7530043	 -82.9513442                                                                                                                             
OH	39145003300	1927044	2810	       0.744	       0.001	 38.7524303	 -82.9819128                                                                                                                          
OH	39145003400	1406629	0	       0.543	       0.000	 38.7427520	 -82.9760889                                                                                                                             
OH	39145003500	1719496	219118	       0.664	       0.085	 38.7326470	 -82.9792239                                                                                                                        
OH	39145003600	2004369	152784	       0.774	       0.059	 38.7344081	 -82.9975863                                                                                                                        
OH	39145003700	1280663	0	       0.494	       0.000	 38.7476774	 -82.9892542                                                                                                                             
OH	39145003800	24661087	271200	       9.522	       0.105	 38.7716476	 -82.9663446                                                                                                                       
OH	39145003900	21995330	643914	       8.492	       0.249	 38.7556356	 -83.0316102                                                                                                                       
